id,height,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,PER,FTr,PTSper100,FGAper100,FT%,2P%,3P%,3FGA%,Avg Dist,0-3ft FGA%,3-10ft FGA%,10-16ft FGA%,16-3P,% of Ast 2s,% of Ast 3s,% Corner 3s,cluster,player type
UDONIS HASLEM2004-2005,0.1875,-0.060344828,-0.037037037,-0.780104712,-0.593220339,-0.839416058,-0.53765324,-0.410526316,0.079787234,-0.532,-0.347826087,-0.359756098,0.582,0.210702341,-1,-0.987519501,-0.387755102,-0.02,-0.846785226,-0.22556391,-0.381864623,0.468,-1,-1,5,Traditional Center
UDONIS HASLEM2005-2006,0.1875,-0.293103448,0.005291005,-0.794066318,-0.627118644,-0.927007299,-0.632224168,-0.452631579,-0.015957447,-0.550666667,-0.404347826,-0.37804878,0.578,0.134894091,-1,-0.99323181,-0.142857143,-0.404,-0.813953488,-0.101503759,0.003831418,0.606,-1,-1,5,Traditional Center
UDONIS HASLEM2006-2007,0.1875,-0.206896552,0.026455026,-0.769633508,-0.627118644,-0.883211679,-0.579684764,-0.273684211,-0.015957447,-0.622666667,-0.308695652,-0.195121951,0.36,0.10367893,-1,-0.988842399,-0.257142857,-0.314,-0.707250342,-0.082706767,-0.233716475,0.598,-1,-1,5,Traditional Center
UDONIS HASLEM2007-2008,0.1875,-0.396551724,0.084656085,-0.773123909,-0.627118644,-0.883211679,-0.632224168,-0.315789474,-0.069148936,-0.626666667,-0.339130435,-0.225609756,0.62,0.041248606,-1,-1,-0.175510204,-0.44,-0.660738714,-0.071428571,-0.108556833,0.528,-1,-1,5,Traditional Center
UDONIS HASLEM2008-2009,0.1875,-0.327586207,0.005291005,-0.815008726,-0.694915254,-0.883211679,-0.639229422,-0.421052632,-0.04787234,-0.648,-0.373913043,-0.317073171,0.506,0.154960981,-1,-1,-0.159183673,-0.424,-0.745554036,-0.112781955,-0.021711367,0.676,-1,-1,5,Traditional Center
UDONIS HASLEM2009-2010,0.1875,-0.215517241,0.195767196,-0.863874346,-0.762711864,-0.868613139,-0.667250438,-0.294736842,0.031914894,-0.593333333,-0.269565217,-0.18902439,0.524,0.101449275,-1,-1,-0.110204082,-0.468,-0.761969904,-0.180451128,0.095785441,0.526,-1,-1,5,Traditional Center
UDONIS HASLEM2010-2011,0.1875,-0.086206897,0.206349206,-0.905759162,-0.627118644,-0.897810219,-0.548161121,-0.415789474,-0.069148936,-0.689333333,-0.404347826,-0.329268293,0.6,0.141583055,-1,-1,-0.028571429,-0.652,-0.649794802,-0.082706767,0.157088123,0.682,-1,-1,5,Traditional Center
UDONIS HASLEM2011-2012,0.1875,-0.215517241,0.238095238,-0.860383944,-0.593220339,-0.824817518,-0.544658494,-0.484210526,-0.164893617,-0.618666667,-0.539130435,-0.414634146,0.628,-0.056856187,-1,-1,-0.2,-0.31,-0.731874145,-0.169172932,-0.141762452,0.51,-1,-1,5,Traditional Center
UDONIS HASLEM2012-2013,0.1875,-0.224137931,0.222222222,-0.867364747,-0.627118644,-0.868613139,-0.50262697,-0.631578947,-0.218085106,-0.761333333,-0.62173913,-0.56097561,0.422,0.146042363,-1,-1,-0.297959184,-0.164,-0.759233926,-0.312030075,-0.205619413,0.72,-1,-1,5,Traditional Center
UDONIS HASLEM2013-2014,0.1875,-0.275862069,0.19047619,-0.89877836,-0.694915254,-0.708029197,-0.555166375,-0.463157895,-0.186170213,-0.598666667,-0.491304348,-0.414634146,0.136,0.130434783,-1,-1,-0.32244898,0.014,-0.887824897,-0.665413534,-0.072796935,0.676,-1,-1,5,Traditional Center
UDONIS HASLEM2014-2015,0.1875,-0.24137931,0.052910053,-0.741710297,-0.627118644,-0.839416058,-0.534150613,-0.426315789,-0.180851064,-0.642666667,-0.495652174,-0.359756098,0.406,0.023411371,-0.6,-0.916317992,-0.363265306,-0.112,-0.679890561,-0.560150376,-0.284802043,0.39,1,-0.854131101,4,Skilled Role player
UDONIS HASLEM2015-2016,0.1875,-0.612068966,0.333333333,-0.734729494,-0.661016949,-0.912408759,-0.761821366,-0.521052632,-0.260638298,-0.650666667,-0.591304348,-0.402439024,0.5,-0.056856187,-0.778,-0.704918033,0.028571429,-0.606,-0.685362517,-0.19924812,-0.162196679,0.818,1,-0.656917067,4,Skilled Role player
UDONIS HASLEM2016-2017,0.1875,-0.422413793,0.158730159,-0.776614311,-0.220338983,-0.912408759,-0.253940455,-0.521052632,-0.276595745,-0.130666667,-0.573913043,-0.591463415,0.2,0.226309922,-1,-0.739130435,-0.387755102,-0.044,-0.40629275,-1,-0.555555556,0.272,-1,-0.848574764,2,Defensive specialist
JARVIS HAYES2003-2004,0.125,-0.672413793,-0.53968254,-0.67539267,-0.389830508,-0.941605839,-0.544658494,-0.226315789,-0.244680851,-0.812,-0.352173913,-0.054878049,0.572,-0.059085842,-0.39,-0.623021583,0.020408163,-0.51,-0.586867305,-0.492481203,-0.282247765,0.278,1,-0.744378901,8,High Usage Guard
JARVIS HAYES2004-2005,0.125,-0.75,-0.380952381,-0.67539267,-0.457627119,-0.941605839,-0.663747811,-0.247368421,-0.154255319,-0.702666667,-0.304347826,-0.067073171,0.678,-0.101449275,-0.318,-0.535849057,0.2,-0.71,-0.611491108,-0.334586466,-0.223499361,0.11,0.904,-0.756467827,8,High Usage Guard
